,name,lon,lat,speed,heading,utx,driverid,track,status,gear,throttle,brk,rpm,accx,accy,kms,altitude,_rally_stageid,_carentryid,_telemetrymergedID,_name
0,,25.1050936,61.7514216,38.0,0.0,1633153598417,,,OK,3,17,0.0,2560,-18.0,7.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
1,,25.105129,61.7514307,37.0,0.0,1633153598217,,,OK,2,17,0.0,3344,-25.0,4.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
2,,25.1051461,61.7514354,37.0,0.0,1633153598117,,,OK,2,17,0.0,3297,-17.0,0.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
3,,25.1052133,61.7514524,35.0,0.0,1633153597718,,,OK,2,18,0.0,3138,-12.0,-7.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
4,,25.1052293,61.7514572,34.0,0.0,1633153597617,,,OK,2,18,0.0,3111,12.0,2.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
5,,25.1052445,61.7514617,34.0,0.0,1633153597518,,,OK,2,19,0.0,3063,0.0,-34.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
6,,25.1052767,61.75147,33.0,0.0,1633153597317,,,OK,2,19,0.0,2985,-10.0,-34.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
7,,25.1052918,61.7514745,33.0,0.0,1633153597217,,,OK,2,19,0.0,2966,3.0,-43.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
8,,25.1053061,61.7514785,32.0,0.0,1633153597118,,,OK,2,19,0.0,2899,-2.0,18.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
9,,25.1053201,61.751483,32.0,0.0,1633153597017,,,OK,2,19,0.0,2877,-20.0,-15.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
10,,25.1053342,61.7514874,31.0,0.0,1633153596917,,,OK,2,20,0.0,2822,3.0,3.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
11,,25.1053485,61.7514915,31.0,0.0,1633153596817,,,OK,2,20,0.0,2792,2.0,-43.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
12,,25.1053907,61.7515037,29.0,0.0,1633153596517,,,OK,2,20,0.0,2620,-12.0,-56.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
13,,25.1054041,61.7515076,29.0,0.0,1633153596417,,,OK,2,20,0.0,2532,7.0,-3.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
14,,25.1054172,61.7515115,29.0,0.0,1633153596318,,,OK,2,20,0.0,2619,-15.0,32.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
15,,25.1054303,61.7515152,28.0,0.0,1633153596217,,,OK,2,23,0.0,2960,0.0,16.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
16,,25.105443,61.751519,28.0,0.0,1633153596117,,,OK,1,23,0.0,3349,-3.0,-25.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
17,,25.1054555,61.7515227,27.0,0.0,1633153596017,,,OK,1,24,0.0,3233,-1.0,-15.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
18,,25.1054676,61.7515264,26.0,0.0,1633153595918,,,OK,1,25,0.0,3148,4.0,-26.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
19,,25.10549,61.7515331,24.0,0.0,1633153595717,,,OK,1,25,0.0,2945,-4.0,-11.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
20,,25.1055009,61.7515364,24.0,0.0,1633153595617,,,OK,1,25,0.0,2850,11.0,-36.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
21,,25.1055213,61.7515423,22.0,0.0,1633153595416,,,OK,1,27,0.0,2665,-3.0,-75.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
22,,25.1055493,61.7515503,19.0,0.0,1633153595117,,,OK,1,28,0.0,2368,8.0,-50.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
23,,25.1055574,61.7515528,18.0,0.0,1633153595016,,,OK,1,27,0.0,2253,-1.0,1.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
24,,25.1055654,61.7515556,17.0,0.0,1633153594916,,,OK,1,27,0.0,2149,-3.0,-17.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
25,,25.1055731,61.7515579,16.0,0.0,1633153594816,,,OK,1,26,0.0,2064,25.0,13.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
26,,25.1055802,61.75156,15.0,0.0,1633153594718,,,OK,1,25,0.0,1965,27.0,-10.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
27,,25.1055871,61.7515621,15.0,0.0,1633153594616,,,OK,1,22,0.0,1845,-7.0,-28.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
28,,25.1056063,61.7515676,13.0,0.0,1633153594317,,,OK,1,20,0.0,1607,9.0,-41.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
29,,25.1056121,61.7515694,12.0,0.0,1633153594216,,,OK,1,20,0.0,1598,-2.0,-32.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
30,,25.1056174,61.7515709,10.0,0.0,1633153594116,,,OK,1,20,0.0,1745,-7.0,11.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
31,,25.1056221,61.7515723,9.0,0.0,1633153594016,,,OK,1,20,0.0,2308,5.0,-15.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
32,,25.1056265,61.7515736,8.0,0.0,1633153593917,,,OK,1,20,0.0,2676,-3.0,16.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
33,,25.1056378,61.7515771,5.0,0.0,1633153593616,,,OK,1,20,0.0,3077,-4.0,-2.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
34,,25.1056409,61.7515781,4.0,0.0,1633153593517,,,OK,1,20,0.0,3176,5.0,-39.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
35,,25.1056436,61.751579,3.0,0.0,1633153593416,,,OK,1,20,0.0,3237,0.0,-10.0,0.0,106,bcc5537d-d28a-40af-ba86-95dad7fb9cd1,b185c5df-8115-40cf-bd81-566f016f6bf5,/a3f5f3f5-3fb0-42ab-af90-24d91c0493d0/ss07eva_telemetry_js_merged/js,Evans
